floy,temp,round,tank,date,inc_day,embryo_length,,,
HO_033,31,2,2,23/08/2018,14,0.946,,,
HO_009,29,1,1,27/07/2017,9,1,,,
HO_012,27,1,2,5/09/2017,17,1.16,,,
HO_030,27,2,1,25/06/2018,22,1.227,,,
HO_020,27,1,2,31/10/2017,28,1.663,,,
HO-029,27,2,1,25/06/2018,22,1.927,,,
HO_008,29,1,1,5/07/2017,14,1.945,,,
HO_013,29,1,1,5/09/2017,17,2.015,,,
HO_008,29,1,1,3/07/2017,12,2.056,,,
HO_028,31,2,2,19/06/2018,19,2.072,,,
HO_021,27,1,2,31/10/2017,28,2.111,,,
HO_015,27,1,2,5/09/2017,17,2.144,,,
HO_027,27,2,1,19/06/2018,19,2.15,,,
HO_024,29,1,1,15/12/2017,15,2.17,,,
HO_014,29,1,1,1/09/2017,13,2.195,,,
HO_030,27,2,1,28/06/2018,25,2.228,,,
HO_012,27,1,2,7/09/2017,19,2.237,,,
HO_033,31,2,2,28/08/2018,19,2.27,,,
HO_027,27,2,1,21/06/2018,21,2.28,,,
HO_013,29,1,1,7/09/2017,19,2.301,,,
HO-029,27,2,1,28/06/2018,25,2.411,,,
HO_020,27,1,2,23/10/2017,20,2.442,,,
HO_030,27,2,1,26/06/2018,23,2.52,,,
HO_009,29,1,1,2/08/2017,15,2.528,,,
HO-029,27,2,1,26/06/2018,23,2.595,,,
HO_012,27,1,2,13/09/2017,25,2.623,,,
HO_004,27,1,2,13/06/2017,20,2.647,,,
HO_003,27,1,2,7/06/2017,14,2.669,,,
HO_004,27,1,2,15/06/2017,22,2.8265,,,
HO-036,31,2,2,2/10/2018,26,2.853,,,
HO_028,31,2,2,21/06/2018,21,2.908,,,
HO_004,27,1,2,17/06/2017,24,3.027,,,
HO_008,29,1,1,11/07/2017,20,3.041,,,
HO_004,27,1,2,19/06/2017,26,3.118,,,
HO_008,29,1,1,9/07/2017,18,3.1335,,,
HO_020,27,1,2,15/11/2017,43,3.319,,,
HO_024,29,1,1,15/01/2018,46,3.34,,,
HO_021,27,1,2,2/11/2017,30,3.343,,,
HO_020,27,1,2,25/10/2017,22,3.358,,,
HO-029,27,2,1,30/06/2018,27,3.359,,,
HO_018,29,1,1,23/10/2017,45,3.363,,,
HO_014,29,1,1,18/09/2017,30,3.399,,,
HO_025,27,1,2,7/01/2018,38,3.409,,,
HO_008,29,1,1,13/07/2017,22,3.417,,,
HO_021,27,1,2,15/11/2017,43,3.43,,,
HO_013,29,1,1,11/09/2017,23,3.444,,,
HO_004,27,1,2,21/06/2017,28,3.697,,,
HO_013,29,1,1,13/09/2017,25,3.705,,,
HO_012,27,1,2,26/09/2017,38,3.726,,,
HO_018,29,1,1,5/10/2017,27,3.734,,,
HO_009,29,1,1,8/08/2017,21,3.7605,,,
HO_014,29,1,1,5/09/2017,17,3.78,,,
HO_033,31,2,2,3/09/2018,25,3.868,,,
HO_004,27,1,2,27/06/2017,34,3.901,,,
